,title,start_time,end_time,word,stutter_type
0,p000001s000001w000001,0.0,0.58,Last,n
1,p000001s000001w000002,0.58,1.185,"week,",n
2,p000001s000001w000003,1.185,1.73,last,n
3,p000001s000001w000004,1.73,2.115,week,n
4,p000001s000001w000005,2.115,2.5,we,n
5,p000001s000001w000006,2.5,2.745,got,n
6,p000001s000001w000007,2.745,2.915,to,n
7,p000001s000001w000008,2.915,3.0,play,n
8,p000001s000001w000009,3.0,3.36,football.,n
9,p000001s000001w000010,3.36,3.53,It,n
10,p000001s000001w000011,3.53,4.445,was,n
11,p000001s000001w000012,4.445,4.67,really,n
12,p000001s000001w000013,4.67,5.24,"nice,",n
13,p000001s000001w000014,5.24,5.43,and,n
14,p000001s000001w000015,5.43,6.38,then,n
15,p000001s000001w000016,6.38,6.49,our,n
16,p000001s000001w000017,6.49,6.685,team,n
17,p000001s000001w000018,6.685,7.845,lost.,n
18,p000001s000001w000019,7.845,8.335,"Uhm,",s
19,p000001s000001w000020,8.335,8.41,I,n
20,p000001s000001w000021,8.41,8.7,think,n
21,p000001s000001w000022,8.7,8.845,it,n
22,p000001s000001w000023,8.845,9.06,was,n
23,p000001s000001w000024,9.06,11.155,five-seven.,n
24,p000001s000001w000025,11.155,11.34,And,n
25,p000001s000001w000026,11.34,11.635,"then,",n
26,p000001s000001w000027,11.635,12.46,and,n
27,p000001s000001w000028,12.46,12.695,then,n
28,p000001s000001w000029,12.695,13.47,uhm,s
29,p000001s000001w000030,13.47,13.53,do,n
30,p000001s000001w000031,13.53,13.595,you,n
31,p000001s000001w000032,13.595,13.775,see,n
32,p000001s000001w000033,13.775,14.055,the,n
33,p000001s000001w000034,14.055,15.07,other,n
34,p000001s000001w000035,15.07,15.255,the,n
35,p000001s000001w000036,15.255,15.675,"next,",n
36,p000001s000001w000037,15.675,15.81,"uhm,",s
37,p000001s000001w000038,15.81,16.205,the,n
38,p000001s000001w000039,16.205,16.65,first,n
39,p000001s000001w000040,16.65,16.77,day,n
40,p000001s000001w000041,16.77,17.82,we,n
41,p000001s000001w000042,17.82,17.94,were,n
42,p000001s000001w000043,17.94,18.25,trying,n
43,p000001s000001w000044,18.25,18.39,for,n
44,p000001s000001w000045,18.39,18.5,our,n
45,p000001s000001w000046,18.5,19.19,"greens,",n
46,p000001s000001w000047,19.19,19.59,I,n
47,p000001s000001w000048,19.59,19.825,got,n
48,p000001s000001w000049,19.825,20.025,my,n
49,p000001s000001w000050,20.025,21.445,"green,",n
50,p000001s000001w000051,21.445,22.1,but,n
51,p000001s000001w000052,22.1,22.155,the,n
52,p000001s000001w000053,22.155,22.565,most,n
53,p000001s000001w000054,22.565,23.565,hardest,n
54,p000001s000001w000055,23.565,23.74,is,n
55,p000001s000001w000056,23.74,24.17,to,n
56,p000001s000001w000057,24.17,25.42,get,n
57,p000001s000001w000058,25.42,25.54,your,n
58,p000001s000001w000059,25.54,25.775,"red,",n
59,p000001s000001w000060,25.775,25.875,"but,",n
60,p000001s000001w000061,25.875,27.735,"uhm,",s
61,p000001s000001w000062,27.735,27.82,you,n
62,p000001s000001w000063,27.82,28.01,see,n
63,p000001s000001w000064,28.01,28.165,my,n
64,p000001s000001w000065,28.165,28.525,"sister,",n
65,p000001s000001w000066,28.525,32.71,they,n
66,p000001s000001w000067,32.71,33.045,said,n
67,p000001s000001w000068,33.045,33.32,that,n
68,p000001s000001w000069,33.32,33.365,I,n
69,p000001s000001w000070,33.365,33.64,can't,n
70,p000001s000001w000071,33.64,33.705,get,n
71,p000001s000001w000072,33.705,34.14,my,n
72,p000001s000001w000073,34.14,34.595,"green,",n
73,p000001s000001w000074,34.595,34.64,I,n
74,p000001s000001w000075,34.64,34.715,will,n
75,p000001s000001w000076,34.715,35.12,never,n
76,p000001s000001w000077,35.12,35.345,get,n
77,p000001s000001w000078,35.345,35.575,my,n
78,p000001s000001w000079,35.575,35.575,green,n
79,p000001s000001w000080,35.575,35.63,and,n
80,p000001s000001w000081,35.63,36.535,then,n
81,p000001s000001w000082,36.535,36.775,I,n
82,p000001s000001w000083,36.775,37.24,"did,",n
83,p000001s000001w000084,37.24,37.295,I,n
84,p000001s000001w000085,37.295,37.88,showed,n
85,p000001s000001w000086,37.88,37.945,them,n
86,p000001s000001w000087,37.945,37.965,that,n
87,p000001s000001w000088,37.965,38.18,I,n
88,p000001s000001w000089,38.18,39.235,did.,n
89,p000001s000001w000090,39.235,39.435,And,n
90,p000001s000001w000091,39.435,39.655,then,n
91,p000001s000001w000092,39.655,39.88,"uhm,",s
92,p000001s000001w000093,39.88,40.455,and,n
93,p000001s000001w000094,40.455,40.9,then,n
94,p000001s000001w000095,40.9,40.975,I,n
95,p000001s000001w000096,40.975,40.975,"was,",n
96,p000001s000001w000097,40.975,41.04,I,n
97,p000001s000001w000098,41.04,41.185,was,n
98,p000001s000001w000099,41.185,41.665,trying,n
99,p000001s000001w000100,41.665,41.975,trying,n
100,p000001s000001w000101,41.975,42.18,to,n
101,p000001s000001w000102,42.18,42.295,get,n
102,p000001s000001w000103,42.295,42.66,my,n
103,p000001s000001w000104,42.66,42.68,"blue,",n
104,p000001s000001w000105,42.68,42.77,we,n
105,p000001s000001w000106,42.77,43.285,were,n
106,p000001s000001w000107,43.285,43.64,having,n
107,p000001s000001w000108,43.64,43.78,a,n
108,p000001s000001w000109,43.78,44.215,test,n
109,p000001s000001w000110,44.215,44.245,to,n
110,p000001s000001w000111,44.245,44.335,get,n
111,p000001s000001w000112,44.335,44.6,a,n
112,p000001s000001w000113,44.6,44.695,"blue,",n
113,p000001s000001w000114,44.695,45.19,but,n
114,p000001s000001w000115,45.19,45.27,I,n
115,p000001s000001w000116,45.27,46.305,"failed,",n
116,p000001s000001w000117,46.305,46.39,I,n
117,p000001s000001w000118,46.39,46.845,"failed,",n
118,p000001s000001w000119,46.845,47.525,"but,",n
119,p000001s000001w000120,47.525,49.71,but,n
120,p000001s000001w000121,49.71,49.765,"uhm,",s
121,p000001s000001w000122,49.765,52.795,I,n
122,p000001s000001w000123,52.795,53.1,didn't,n
123,p000001s000001w000124,53.1,53.43,"mind,",n
124,p000001s000001w000125,53.43,53.43,"anyway,",n
125,p000001s000001w000126,53.43,53.43,I,n
126,p000001s000001w000127,53.43,54.12,didn't,n
127,p000001s000001w000128,54.12,54.66,"mind,",n
128,p000001s000001w000129,54.66,55.165,because,n
129,p000001s000001w000130,55.165,55.37,I,n
130,p000001s000001w000131,55.37,55.57,got,n
131,p000001s000001w000132,55.57,55.915,my,n
132,p000001s000001w000133,55.915,57.28,green.,n
133,p000001s000001w000134,57.28,57.615,"And,",n
134,p000001s000001w000135,57.615,57.76,"uhm,",s
135,p000001s000001w000136,57.76,61.09,and,n
136,p000001s000001w000137,61.09,63.75,that's,n
137,p000001s000001w000138,63.75,63.905,it.,n
138,p000001s000001w000139,63.905,64.015,Tell,n
139,p000001s000001w000140,64.015,64.98,me,n
140,p000001s000001w000141,64.98,66.735,about,n
141,p000001s000001w000142,66.735,67.28,your,n
142,p000001s000001w000143,67.28,68.34,school.,n
143,p000001s000001w000144,68.34,69.85,School.,n
144,p000001s000001w000145,69.85,71.12,"Uhm,",s
145,p000001s000001w000146,71.12,71.18,you,n
146,p000001s000001w000147,71.18,71.37,see,n
147,p000001s000001w000148,71.37,71.485,our,n
148,p000001s000001w000149,71.485,72.6,"school,",n
149,p000001s000001w000150,72.6,72.64,you,n
150,p000001s000001w000151,72.64,72.865,see,n
151,p000001s000001w000152,72.865,73.165,"now,",n
152,p000001s000001w000153,73.165,74.53,at,n
153,p000001s000001w000154,74.53,74.725,our,n
154,p000001s000001w000155,74.725,74.975,school,n
155,p000001s000001w000156,74.975,75.155,I'm,n
156,p000001s000001w000157,75.155,75.16,in,n
157,p000001s000001w000158,75.16,75.465,year,n
158,p000001s000001w000159,75.465,76.84,"six,",n
159,p000001s000001w000160,76.84,77.125,and,n
160,p000001s000001w000161,77.125,79.755,"uhm,",s
161,p000001s000001w000162,79.755,80.525,um,s
162,p000001s000001w000163,80.525,80.655,I,n
163,p000001s000001w000164,80.655,80.845,like,n
164,p000001s000001w000165,80.845,81.15,to,n
165,p000001s000001w000166,81.15,81.24,play,n
166,p000001s000001w000167,81.24,83.075,football,n
167,p000001s000001w000168,83.075,83.44,at,n
168,p000001s000001w000169,83.44,83.555,"school,",n
169,p000001s000001w000170,83.555,83.555,and,n
170,p000001s000001w000171,83.555,83.87,"basketball,",n
171,p000001s000001w000172,83.87,85.125,and,n
172,p000001s000001w000173,85.125,86.755,"uhm,",s
173,p000001s000001w000174,86.755,86.825,you,n
174,p000001s000001w000175,86.825,87.185,see,n
175,p000001s000001w000176,87.185,87.25,you,n
176,p000001s000001w000177,87.25,87.465,see,n
177,p000001s000001w000178,87.465,87.59,our,n
178,p000001s000001w000179,87.59,88.15,foot,n
179,p000001s000001w000180,88.15,88.22,you,n
180,p000001s000001w000181,88.22,88.41,see,n
181,p000001s000001w000182,88.41,88.55,our,n
182,p000001s000001w000183,88.55,89.145,footballers,n
183,p000001s000001w000184,89.145,89.425,playing,n
184,p000001s000001w000185,89.425,90.005,against,n
185,p000001s000001w000186,90.005,90.13,the,n
186,p000001s000001w000187,90.13,90.24,year,n
187,p000001s000001w000188,90.24,91.29,"five,",n
188,p000001s000001w000189,91.29,91.38,year,n
189,p000001s000001w000190,91.38,91.805,six,n
190,p000001s000001w000191,91.805,92.16,versus,n
191,p000001s000001w000192,92.16,92.285,year,n
192,p000001s000001w000193,92.285,92.45,"five,",n
193,p000001s000001w000194,92.45,93.22,and,n
194,p000001s000001w000195,93.22,93.7,"then,",n
195,p000001s000001w000196,93.7,94.25,and,n
196,p000001s000001w000197,94.25,94.33,"then,",n
197,p000001s000001w000198,94.33,95.015,and,n
198,p000001s000001w000199,95.015,95.135,"then,",n
199,p000001s000001w000200,95.135,95.985,the,n
200,p000001s000001w000201,95.985,96.26,score,n
201,p000001s000001w000202,96.26,96.685,was,n
202,p000001s000001w000203,96.685,97.645,"2-1,",n
203,p000001s000001w000204,97.645,97.645,we,n
204,p000001s000001w000205,97.645,97.675,beat,n
205,p000001s000001w000206,97.675,99.485,"them,",n
206,p000001s000001w000207,99.485,100.29,and,n
207,p000001s000001w000208,100.29,100.32,I,n
208,p000001s000001w000209,100.32,100.375,um,s
209,p000001s000001w000210,100.375,100.755,must,n
210,p000001s000001w000211,100.755,100.755,?.,n
211,p000001s000001w000212,100.755,100.805,When,n
212,p000001s000001w000213,100.805,100.995,people,n
213,p000001s000001w000214,100.995,101.005,are,n
214,p000001s000001w000215,101.005,101.28,lining,n
215,p000001s000001w000216,101.28,101.75,out,n
216,p000001s000001w000217,101.75,101.995,I'll,n
217,p000001s000001w000218,101.995,103.54,have,n
218,p000001s000001w000219,103.54,103.775,to,n
219,p000001s000001w000220,103.775,104.04,tell,n
220,p000001s000001w000221,104.04,104.64,them,n
221,p000001s000001w000222,104.64,104.77,to,n
222,p000001s000001w000223,104.77,105.48,stop,n
223,p000001s000001w000224,105.48,107.005,talking,n
224,p000001s000001w000225,107.005,107.21,and,n
225,p000001s000001w000226,107.21,108.21,"jump,",n
226,p000001s000001w000227,108.21,110.08,"yeah,",n
227,p000001s000001w000228,110.08,110.46,and,n
228,p000001s000001w000229,110.46,117.28,uhm,s
229,p000001s000001w000230,117.28,117.315,you,n
230,p000001s000001w000231,117.315,117.535,see,n
231,p000001s000001w000232,117.535,118.03,literacy,n
232,p000001s000001w000233,118.03,118.2,is,n
233,p000001s000001w000234,118.2,118.34,more,n
234,p000001s000001w000235,118.34,118.5,better,n
235,p000001s000001w000236,118.5,119.13,than,n
236,p000001s000001w000237,119.13,120.05,maths.,n
237,p000001s000001w000238,120.05,120.485,I,n
238,p000001s000001w000239,120.485,120.485,like,n
239,p000001s000001w000240,120.485,120.67,literacy,n
240,p000001s000001w000241,120.67,120.985,better,n
241,p000001s000001w000242,120.985,121.425,than,n
242,p000001s000001w000243,121.425,121.88,maths.,n
