,title,start_time,end_time,word,stutter_type
0,p000001s000001w000001,0,1.12,TODAY,n
1,p000001s000001w000002,1.12,1.33,at,n
2,p000001s000001w000003,1.33,2.37,school,n
3,p000001s000001w000004,2.37,2.655,um,i
4,p000001s000001w000005,2.655,4.94,we,n
5,p000001s000001w000006,4.94,5.18,went,n
6,p000001s000001w000007,5.18,5.255,to,n
7,p000001s000001w000008,5.255,5.495,the,n
8,p000001s000001w000009,5.495,6.125,computer,n
9,p000001s000001w000010,6.125,6.365,room,n
10,p000001s000001w000011,6.365,8.23,and,n
11,p000001s000001w000012,8.23,8.53,we,n
12,p000001s000001w000013,8.53,8.87,had,n
13,p000001s000001w000014,8.87,9.075,to,n
14,p000001s000001w000015,9.075,9.215,do,n
15,p000001s000001w000016,9.215,9.62,um,i
16,p000001s000001w000017,9.62,9.915,some,n
17,p000001s000001w000018,9.915,10.52,spread,n
18,p000001s000001w000019,10.52,12.2,SHEETS,s
19,p000001s000001w000020,12.2,13.575,stuff.,n
20,p000001s000001w000021,13.575,14.2,WHAT,s
21,p000001s000001w000022,14.2,15.54,flavour,n
22,p000001s000001w000023,15.54,15.96,no,n
23,p000001s000001w000024,15.96,16.205,what,n
24,p000001s000001w000025,16.205,16.235,um,i
25,p000001s000001w000026,16.235,16.465,eye,n
26,p000001s000001w000027,16.465,17.195,colour,n
27,p000001s000001w000028,17.195,17.555,have,n
28,p000001s000001w000029,17.555,17.8,you,n
29,p000001s000001w000030,17.8,18.295,got,n
30,p000001s000001w000031,18.295,19.755,and,n
31,p000001s000001w000032,19.755,21.88,WHAT,w
32,p000001s000001w000033,21.88,22.85,WHAT,w
33,p000001s000001w000034,22.85,23.43,colour,n
34,p000001s000001w000035,23.43,25.15,"hair,",n
35,p000001s000001w000036,25.15,26.365,HOW,s
36,p000001s000001w000037,26.365,26.485,many,n
37,p000001s000001w000038,26.485,26.91,pets,n
38,p000001s000001w000039,26.91,28.475,have,n
39,p000001s000001w000040,28.475,28.715,you,n
40,p000001s000001w000041,28.715,32.805,got.,n
41,p000001s000001w000042,32.805,32.99,And,n
42,p000001s000001w000043,32.99,33.225,some,n
43,p000001s000001w000044,33.225,33.81,people,n
44,p000001s000001w000045,33.81,34.455,um,i
45,p000001s000001w000046,34.455,35.1,have,n
46,p000001s000001w000047,35.1,35.92,about,n
47,p000001s000001w000048,35.92,36.085,two,n
48,p000001s000001w000049,36.085,37.74,pets,n
49,p000001s000001w000050,37.74,38.04,and,n
50,p000001s000001w000051,38.04,38.38,some,n
51,p000001s000001w000052,38.38,38.66,of,n
52,p000001s000001w000053,38.66,38.89,them,n
53,p000001s000001w000054,38.89,38.91,had,n
54,p000001s000001w000055,38.91,38.91,one,n
55,p000001s000001w000056,38.91,40.31,and,n
56,p000001s000001w000057,40.31,40.485,some,n
57,p000001s000001w000058,40.485,40.545,of,n
58,p000001s000001w000059,40.545,40.96,them,n
59,p000001s000001w000060,40.96,41.065,had,n
60,p000001s000001w000061,41.065,42.135,none,n
61,p000001s000001w000062,42.135,42.33,so,n
62,p000001s000001w000063,42.33,42.42,we,n
63,p000001s000001w000064,42.42,42.715,just,n
64,p000001s000001w000065,42.715,42.995,put,n
65,p000001s000001w000066,42.995,43.175,zero,n
66,p000001s000001w000067,43.175,43.18,in,n
67,p000001s000001w000068,43.18,43.595,the,n
68,p000001s000001w000069,43.595,44.8,sheets.,n
69,p000001s000001w000070,51.8,52.02,Then,n
70,p000001s000001w000071,52.02,52.63,today,n
71,p000001s000001w000072,52.63,52.895,at,n
72,p000001s000001w000073,52.895,53.285,school,n
73,p000001s000001w000074,53.285,53.69,too,n
74,p000001s000001w000075,53.69,53.945,I,n
75,p000001s000001w000076,53.945,53.995,played,n
76,p000001s000001w000077,53.995,56.6,football,n
77,p000001s000001w000078,56.6,61.21,too,n
78,p000001s000001w000079,61.21,61.495,and,n
79,p000001s000001w000080,61.495,61.655,we,n
80,p000001s000001w000081,61.655,62.205,was,n
81,p000001s000001w000082,62.205,62.42,playing,n
82,p000001s000001w000083,62.42,62.62,versus,n
83,p000001s000001w000084,62.62,63.41,5H,s
84,p000001s000001w000085,63.41,65.945,and,n
85,p000001s000001w000086,65.945,65.96,it,n
86,p000001s000001w000087,65.96,66.285,was,n
87,p000001s000001w000088,66.285,66.485,a,n
88,p000001s000001w000089,66.485,66.76,draw,n
89,p000001s000001w000090,66.76,67.085,the,n
90,p000001s000001w000091,67.085,67.43,match,n
91,p000001s000001w000092,67.43,68.15,it,n
92,p000001s000001w000093,68.15,68.365,was,n
93,p000001s000001w000094,68.365,69.255,three-three.,n
94,p000001s000001w000095,69.255,73.565,AND,s
95,p000001s000001w000096,73.565,73.67,I,n
96,p000001s000001w000097,73.67,74.025,scored,n
97,p000001s000001w000098,74.025,74.49,one,n
98,p000001s000001w000099,74.49,74.545,goal,n
99,p000001s000001w000100,74.545,75.295,and,n
100,p000001s000001w000101,75.295,75.665,then,n
101,p000001s000001w000102,75.665,76.03,um,i
102,p000001s000001w000103,76.03,76.56,someone,n
103,p000001s000001w000104,76.56,76.855,else,n
104,p000001s000001w000105,76.855,77.5,scored,n
105,p000001s000001w000106,77.5,77.85,again.,n
106,p000001s000001w000107,84.225,84.41,And,n
107,p000001s000001w000108,84.41,84.925,today,n
108,p000001s000001w000109,84.925,85.225,um,i
109,p000001s000001w000110,85.225,85.365,I,n
110,p000001s000001w000111,85.365,85.575,watched,n
111,p000001s000001w000112,85.575,86.2,POKEMON,s
112,p000001s000001w000113,86.2,87.495,on,n
113,p000001s000001w000114,87.495,87.925,TV,n
114,p000001s000001w000115,87.925,91.91,AND,s
115,p000001s000001w000116,91.91,92.105,it,n
116,p000001s000001w000117,92.105,92.36,was,n
117,p000001s000001w000118,92.36,92.825,about,n
118,p000001s000001w000119,92.825,93.025,this,n
119,p000001s000001w000120,93.025,93.74,boy,n
120,p000001s000001w000121,93.74,94.67,Ash,n
121,p000001s000001w000122,94.67,95.115,and,n
122,p000001s000001w000123,95.115,95.45,um,i
123,p000001s000001w000124,95.45,96.02,this,n
124,p000001s000001w000125,96.02,96.345,one,n
125,p000001s000001w000126,96.345,96.53,girl,n
126,p000001s000001w000127,96.53,97.18,Misty,n
127,p000001s000001w000128,97.18,97.53,and,n
128,p000001s000001w000129,97.53,99.955,Rock.,n
129,p000001s000001w000130,99.955,99.96,They,n
130,p000001s000001w000131,99.96,100.275,was,n
131,p000001s000001w000132,100.275,101.77,going,n
132,p000001s000001w000133,101.77,101.85,in,n
133,p000001s000001w000134,101.85,102.245,this,n
134,p000001s000001w000135,102.245,102.82,adventure,n
135,p000001s000001w000136,102.82,103.38,to,n
136,p000001s000001w000137,103.38,103.845,find,n
137,p000001s000001w000138,103.845,103.845,um,i
138,p000001s000001w000139,103.845,104.52,there's,n
139,p000001s000001w000140,104.52,104.645,one,n
140,p000001s000001w000141,104.645,105.035,hundred,n
141,p000001s000001w000142,105.035,105.665,and,n
142,p000001s000001w000143,105.665,106.23,fifty,n
