,title,start_time,end_time,word,stutter_type
0,p000001s000001w000001,0,0.54,And,n
1,p000001s000001w000002,0.54,1.065,"um,",i
2,p000001s000001w000003,1.065,2.52,and,n
3,p000001s000001w000004,2.52,2.925,I,n
4,p000001s000001w000005,2.925,4.4,also,n
5,p000001s000001w000006,4.4,5.155,got,n
6,p000001s000001w000007,5.155,5.58,"um,",i
7,p000001s000001w000008,5.58,5.81,some,n
8,p000001s000001w000009,5.81,5.81,R,s
9,p000001s000001w000010,5.81,5.81,RRRRRR,p
10,p000001s000001w000011,5.81,5.81,RA,w
11,p000001s000001w000012,5.81,5.81,ROA,w
12,p000001s000001w000013,5.81,5.81,R,w
13,p000001s000001w000014,5.81,9.22,"RRRRRRRRRROLLERBLADES,",p
14,p000001s000001w000015,9.22,9.475,W,s
15,p000001s000001w000016,9.475,9.73,WIJ,ph
16,p000001s000001w000017,9.73,10.195,I,ph
17,p000001s000001w000018,10.195,10.595,WHICH,ph
18,p000001s000001w000019,10.595,10.805,I,ph
19,p000001s000001w000020,10.805,11.09,I'S,w
20,p000001s000001w000021,11.09,11.13,u,i
21,p000001s000001w000022,11.13,11.69,dying,n
22,p000001s000001w000023,11.69,12.035,TO,w
23,p000001s000001w000024,12.035,12.25,TO,w
24,p000001s000001w000025,12.25,12.515,um,i
25,p000001s000001w000026,12.515,13.615,get.,n
26,p000001s000001w000027,13.615,14.525,"Um,",i
27,p000001s000001w000028,14.525,14.985,I,n
28,p000001s000001w000029,14.985,15.51,also,n
29,p000001s000001w000030,15.51,15.93,got,n
30,p000001s000001w000031,15.93,16.535,a,n
31,p000001s000001w000032,16.535,16.915,CU,s
32,p000001s000001w000033,16.915,17.735,C,s
33,p000001s000001w000034,17.735,18.005,UM,s
34,p000001s000001w000035,18.005,18.73,COMPUTER,s
35,p000001s000001w000036,18.73,18.985,game,n
36,p000001s000001w000037,18.985,19.39,for,n
37,p000001s000001w000038,19.39,20.06,the,n
38,p000001s000001w000039,20.06,20.36,um,i
