,title,start_time,end_time,word,stutter_type
0,p000001s000001w000001,0,0.53,"Um,",i
1,p000001s000001w000002,0.53,1.115,U,s
2,p000001s000001w000003,1.115,1.455,I,s
3,p000001s000001w000004,1.455,2.68,go,n
4,p000001s000001w000005,2.68,2.845,to,n
5,p000001s000001w000006,2.845,3.34,Trinthoe,n
6,p000001s000001w000007,3.34,6.01,"School,",n
7,p000001s000001w000008,6.01,6.23,and,n
8,p000001s000001w000009,6.23,6.39,I,n
9,p000001s000001w000010,6.39,6.64,like,n
10,p000001s000001w000011,6.64,6.81,doing,n
11,p000001s000001w000012,6.81,9.065,"football,",n
12,p000001s000001w000013,9.065,9.325,"art,",n
13,p000001s000001w000014,9.325,9.7,"design,",n
14,p000001s000001w000015,9.7,10.735,"technology,",n
15,p000001s000001w000016,10.735,11.255,maths,n
16,p000001s000001w000017,11.255,13.485,"and,",n
17,p000001s000001w000018,13.485,13.75,lots,n
18,p000001s000001w000019,13.75,13.755,of,n
19,p000001s000001w000020,13.755,13.92,other,n
20,p000001s000001w000021,13.92,17.925,subjects.,n
21,p000001s000001w000022,17.925,18.275,My,n
22,p000001s000001w000023,18.275,18.52,best,n
23,p000001s000001w000024,18.52,18.87,hobby,n
24,p000001s000001w000025,18.87,18.98,is,n
25,p000001s000001w000026,18.98,19.49,"football,",n
26,p000001s000001w000027,19.49,20.745,I,n
27,p000001s000001w000028,20.745,21.105,scored,n
28,p000001s000001w000029,21.105,21.51,18,n
29,p000001s000001w000030,21.51,21.685,goals,n
30,p000001s000001w000031,21.685,21.955,um,i
31,p000001s000001w000032,21.955,21.96,er,i
32,p000001s000001w000033,21.96,22.07,last,n
33,p000001s000001w000034,22.07,22.155,"year,",n
34,p000001s000001w000035,22.155,22.9,and.,n
35,p000001s000001w000036,22.9,23.305,Er.,i
36,p000001s000001w000037,23.305,25.03,Tell,n
37,p000001s000001w000038,25.03,25.03,me,n
38,p000001s000001w000039,25.03,25.375,about,n
39,p000001s000001w000040,25.375,25.635,your,n
40,p000001s000001w000041,25.635,33.615,friends,n
41,p000001s000001w000042,33.615,34.065,at,n
42,p000001s000001w000043,34.065,43.405,"schools,",n
43,p000001s000001w000044,43.405,43.6,your,n
44,p000001s000001w000045,43.6,47.305,"teachers,",n
45,p000001s000001w000046,47.305,47.995,things,n
46,p000001s000001w000047,47.995,48.065,you,n
47,p000001s000001w000048,48.065,48.15,like,n
48,p000001s000001w000049,48.15,50.31,to,n
49,p000001s000001w000050,50.31,53.72,do,n
50,p000001s000001w000051,53.72,53.915,at,n
51,p000001s000001w000052,53.915,54.02,school.,n
52,p000001s000001w000053,54.02,47.23,Yeah.,n
53,p000001s000001w000054,47.23,47.375,My,n
54,p000001s000001w000055,47.375,47.73,best,n
55,p000001s000001w000056,47.73,47.915,friend's,n
56,p000001s000001w000057,47.915,48.675,XXXX,s
57,p000001s000001w000058,48.675,48.78,XXXXXX.,s
58,p000001s000001w000059,50.15,50.25,Um.,i
59,p000001s000001w000060,54.2,54.365,Went,n
60,p000001s000001w000061,54.365,54.55,round,n
61,p000001s000001w000062,54.55,54.65,to,n
62,p000001s000001w000063,54.65,54.85,his,n
63,p000001s000001w000064,54.85,55.125,"house,",n
64,p000001s000001w000065,55.125,55.25,"um,",i
65,p000001s000001w000066,55.25,56.28,about,n
66,p000001s000001w000067,56.28,57.43,two,n
67,p000001s000001w000068,57.43,58.775,days,n
68,p000001s000001w000069,58.775,59.55,ago.,n
69,p000001s000001w000070,63.12,63.34,Um.,i
70,p000001s000001w000071,66.5,67.15,Er,i
71,p000001s000001w000072,67.4,67.8,We,n
72,p000001s000001w000073,67.8,68.15,wernt,n
73,p000001s000001w000074,68.15,68.55,out,n
74,p000001s000001w000075,68.55,68.85,on,n
75,p000001s000001w000076,68.85,69.2,our,n
76,p000001s000001w000077,69.2,69.25,"bikes,",n
77,p000001s000001w000078,84.25,84.55,Um.,i
78,p000001s000001w000079,84.55,84.735,M.,p
79,p000001s000001w000080,85.135,85.285,Lost,n
80,p000001s000001w000081,85.285,85.315,World.,n
81,p000001s000001w000082,85.315,85.45,Um.,i
82,p000001s000001w000083,85.45,85.765,Lost,n
83,p000001s000001w000084,85.765,86.23,World,n
84,p000001s000001w000085,86.23,86.375,is,n
